timestamp_ns,pid,prev_pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,next_pid,next_comm
38344301409126,431808,431801,3,91077121,0,b'stress-ng-aio',,,0,b''
38344301432741,431801,431808,3,222568646,0,b'stress-ng-aio',,,0,b''
38344301457791,431798,431801,3,48665,0,b'stress-ng-aio',,,0,b''
38344301586092,431798,431810,3,91494019,0,b'stress-ng-aio',,,0,b''
38344301729537,431807,431803,3,596002,0,b'stress-ng-aio',,,0,b''
38344301749239,431810,431807,3,63660,0,b'stress-ng-aio',,,0,b''
38344301884589,431795,431787,3,275640,0,b'stress-ng-aio',,,0,b''
38343080535865,431806,431793,4,6602672,0,b'stress-ng-aio',,,0,b''
38343468256428,431787,431799,4,93628,0,b'stress-ng-aio',,,0,b''
38343468275391,431810,431787,4,416408,0,b'stress-ng-aio',,,0,b''
38343631604421,431787,431796,4,139930,0,b'stress-ng-aio',,,0,b''
38343631732170,431798,431791,4,83752,0,b'stress-ng-aio',,,0,b''
38343943362772,431797,431791,4,177545,0,b'stress-ng-aio',,,0,b''
38343943381757,431791,431797,4,255475,0,b'stress-ng-aio',,,0,b''
38344078739255,431790,431789,4,67328,0,b'stress-ng-aio',,,0,b''
38344078757228,431801,431790,4,61740,0,b'stress-ng-aio',,,0,b''
38344078827321,431798,431787,4,255497,0,b'stress-ng-aio',,,0,b''
38344301312115,431791,431809,4,58004,0,b'stress-ng-aio',,,0,b''
38344301339097,431793,431791,4,62286,0,b'stress-ng-aio',,,0,b''
38344301787540,431801,431800,4,428822,0,b'stress-ng-aio',,,0,b''
38344301804825,431793,431801,4,347034,0,b'stress-ng-aio',,,0,b''
38342307133911,431789,431790,5,955627,0,b'stress-ng-aio',,,0,b''
38342588957766,431808,431807,5,48982245,0,b'stress-ng-aio',,,0,b''
38342589107223,431806,431810,5,49184943,0,b'stress-ng-aio',,,0,b''
38342589131723,431791,431806,5,49105931,0,b'stress-ng-aio',,,0,b''
38342589157516,431790,431791,5,49155149,0,b'stress-ng-aio',,,0,b''
38342839505722,431790,431807,5,250547956,0,b'stress-ng-aio',,,0,b''
38342878929642,431801,431794,5,1565859,0,b'stress-ng-aio',,,0,b''
38343080320024,431807,431799,5,6554351,0,b'stress-ng-aio',,,0,b''
38343080341881,431799,431807,5,6660921,0,b'stress-ng-aio',,,0,b''
38343080651353,431790,431796,5,6957293,0,b'stress-ng-aio',,,0,b''
38343468132806,431795,431794,5,35830,0,b'stress-ng-aio',,,0,b''
38343468329490,431797,431789,5,40997,0,b'stress-ng-aio',,,0,b''
38343468378979,431797,431809,5,38919,0,b'stress-ng-aio',,,0,b''
38343468404182,431793,431797,5,52025,0,b'stress-ng-aio',,,0,b''
38343807128428,431809,431789,5,769606,0,b'stress-ng-aio',,,0,b''
38343807151532,431796,431809,5,59811,0,b'stress-ng-aio',,,0,b''
38343943366344,431799,431795,5,301195,0,b'stress-ng-aio',,,0,b''
38343943452490,431794,431787,5,320371,0,b'stress-ng-aio',,,0,b''
38343943476003,431786,431794,5,384548,0,b'stress-ng-aio',,,0,b''
38343943508090,431788,431786,5,541223,0,b'stress-ng-aio',,,0,b''
38344078584058,431805,431788,5,72477,0,b'stress-ng-aio',,,0,b''
